Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
2♦,76,2♠,K♥,K♠,8♥,A♣,7♥,6♣,3♥,10♣,10♠,3♣,Q♥
2♦,77,4♠,Q♥,5♥,4♦,9♥,7♣,J♥,10♣,A♥,6♥,K♦,10♠
2♦,78,10♣,9♦,4♦,K♦,Q♦,A♥,8♠,Q♠,6♠,K♠,7♠,4♥
2♦,79,J♠,9♠,K♦,A♠,7♥,3♠,4♥,4♣,10♥,Q♠,8♥,4♠
2♦,80,K♣,K♠,K♥,A♣,9♠,3♥,Q♥,5♠,3♠,6♥,7♥,10♣
2♦,81,8♣,8♦,A♥,4♠,2♠,8♥,K♥,J♦,2♣,J♣,A♠,J♠
2♦,82,4♠,8♠,4♠,5♠,4♣,9♦,8♥,K♠,10♣,Q♣,2♣,7♣
2♦,83,K♠,2♠,2♥,K♣,Q♠,3♠,10♥,Q♥,9♦,Q♦,K♥,8♦
2♦,84,10♠,5♥,3♦,3♣,A♠,4♥,Q♠,Q♣,6♦,7♥,9♠,Q♠
2♦,85,K♥,K♣,2♠,5♥,J♦,6♥,4♥,J♠,7♦,3♥,6♠,10♦
2♦,86,J♠,10♥,5♥,K♦,3♣,7♦,3♠,5♦,J♥,4♠,2♠,Q♣
2♦,87,2♥,A♦,10♣,5♠,5♣,7♠,K♦,5♣,9♥,J♦,K♣,3♥
2♦,88,6♣,6♥,5♠,9♦,9♣,9♥,Q♠,8♥,Q♦,Q♣,8♠,A♥
2♦,89,3♦,4♦,5♦,6♦,7♦,8♦,9♦,7♣,10♦,J♦,6♣,A♦
2♦,90,J♠,8♣,6♦,4♠,10♥,10♦,8♠,A♦,A♥,A♦,2♦,2♦
2♠,0,8♥,6♣,6♠,Q♥,10♣,8♦,K♠,8♥,3♥,A♣,2♠,2♠
2♠,1,9♣,4♠,7♣,K♠,Q♣,2♥,10♦,6♣,Q♥,4♣,K♣,6♠
2♠,2,2♥,6♠,8♥,Q♦,3♦,A♥,4♠,6♠,8♣,J♦,8♠,9♠
2♠,3,7♥,9♦,Q♦,3♥,4♥,8♣,J♣,Q♥,Q♥,5♥,6♣,K♥
2♠,4,A♦,4♦,6♦,6♥,2♦,K♥,3♥,10♣,6♣,J♦,2♦,2♣
2♠,5,6♠,9♥,6♥,J♥,10♥,6♣,A♣,8♦,8♠,2♣,A♦,A♠
2♠,6,7♦,3♦,J♥,5♠,2♦,2♥,6♣,K♠,K♥,K♦,A♥,7♥
2♠,7,Q♠,A♥,5♠,3♠,Q♥,K♠,10♣,9♣,2♥,4♠,3♥,8♥
2♠,8,2♦,10♦,6♥,10♥,5♦,Q♣,K♣,4♠,8♦,3♥,Q♣,7♠
2♠,9,7♥,8♥,J♠,J♦,8♣,4♣,10♥,7♣,9♦,Q♥,10♦,K♦
2♠,10,3♦,9♥,J♦,6♠,6♦,9♦,9♠,K♠,8♠,A♥,Q♠,3♣
2♠,11,3♠,5♦,6♠,6♣,3♥,7♣,9♦,Q♣,5♥,7♠,8♦,5♦
2♠,12,2♦,Q♣,J♠,5♦,5♣,8♥,7♣,2♥,A♦,4♠,7♣,9♦
2♠,13,A♠,6♣,5♦,7♦,5♠,8♠,J♣,10♦,K♦,K♣,J♠,Q♦
2♠,14,10♦,Q♣,7♦,7♥,J♥,9♦,7♣,2♥,2♥,8♦,10♣,3♦
2♠,15,6♠,9♣,5♣,8♣,3♣,6♥,7♥,6♠,10♥,10♠,4♠,6♥
2♠,16,6♦,4♣,8♣,K♦,3♦,A♠,5♠,8♥,Q♥,J♦,4♥,4♣
2♠,17,6♣,7♣,8♦,9♥,K♥,J♥,K♦,Q♦,4♠,A♣,10♠,5♣
2♠,18,Q♣,7♥,9♥,6♥,3♥,5♣,2♣,3♦,A♥,Q♠,Q♥,5♥
2♠,19,9♣,7♣,J♦,Q♥,7♠,9♦,6♥,A♥,K♠,4♦,9♣,4♦
2♠,20,J♥,7♥,Q♥,2♥,10♠,8♦,A♦,4♠,2♦,10♥,6♦,5♠
2♠,21,6♥,J♣,5♥,4♦,Q♣,6♣,8♦,7♥,K♥,7♦,3♠,10♥
2♠,22,Q♠,10♣,Q♥,J♣,6♠,8♥,6♣,9♦,J♦,4♠,J♦,J♣
2♠,23,7♥,2♦,J♣,4♥,4♦,J♦,2♣,Q♦,7♠,5♦,J♣,J♦
2♠,24,9♥,K♦,J♠,5♦,8♠,7♣,4♥,3♥,6♦,5♠,10♥,3♠
2♠,25,A♠,2♦,5♦,5♥,3♦,6♥,7♣,4♥,3♥,4♠,5♠,6♦
2♠,26,10♥,2♥,J♣,10♠,8♦,Q♠,6♥,8♣,7♥,8♣,4♦,9♣
2♠,27,2♣,8♥,K♠,5♦,2♥,3♣,6♠,J♣,Q♠,J♠,5♥,Q♥
2♠,28,8♦,10♣,J♣,J♦,7♦,Q♣,J♥,A♦,8♠,4♦,5♣,10♠
2♠,29,Q♠,4♣,J♦,Q♦,5♣,8♠,9♠,4♦,A♠,K♠,4♣,4♥
2♠,30,10♦,7♥,Q♦,K♦,3♣,10♠,7♣,6♦,6♦,A♥,6♥,4♠
2♠,31,K♥,K♠,8♥,2♥,7♥,6♣,10♣,6♥,10♠,4♦,3♦,10♣
2♠,32,8♣,3♥,8♠,8♦,2♣,5♦,8♥,2♦,7♠,9♣,Q♦,J♠
2♠,33,J♦,9♠,8♦,3♠,5♠,4♣,5♦,K♥,Q♠,2♦,9♦,7♣
2♠,34,K♠,2♣,A♣,K♥,A♥,10♠,6♦,3♥,4♣,5♣,5♦,8♦
2♠,35,J♠,J♣,5♥,3♦,K♦,7♣,A♥,6♠,4♥,3♣,3♣,Q♠
2♠,36,8♥,K♥,2♣,J♣,Q♥,4♦,7♣,9♥,9♥,6♣,K♦,10♦
2♠,37,10♦,6♦,J♣,Q♦,3♦,9♥,10♠,6♥,J♥,8♦,7♠,Q♣
2♠,38,A♣,K♣,Q♠,3♠,10♥,9♦,Q♦,J♥,7♦,Q♥,8♥,3♥
2♠,39,6♠,4♦,3♠,4♣,4♠,7♦,A♥,10♥,5♣,2♦,7♥,A♥
2♠,40,5♥,J♦,6♥,4♥,9♥,3♥,4♣,6♣,A♦,Q♥,A♠,A♦
2♠,41,10♦,8♣,4♥,8♦,6♦,A♦,9♠,A♣,8♠,K♣,2♣,2♦
2♠,42,2♣,4♠,8♦,Q♣,K♠,2♦,A♣,7♦,A♦,10♣,K♥,6♣
2♠,43,2♦,6♣,6♥,5♠,9♦,9♣,7♦,3♦,Q♠,Q♦,9♠,8♠
2♠,44,3♠,4♠,5♠,6♠,7♠,8♠,9♠,J♥,10♠,J♠,6♠,K♣
2♠,45,8♥,6♣,6♠,Q♥,10♣,8♦,K♠,5♠,3♥,2♥,2♠,2♠
2♠,46,9♣,4♠,7♣,K♠,Q♣,A♣,10♦,2♦,Q♥,4♣,K♣,6♠
2♠,47,A♣,6♠,8♥,Q♦,3♦,A♥,4♠,2♥,8♣,J♦,8♠,9♠
2♠,48,7♥,9♦,Q♦,3♥,4♥,8♣,J♣,6♣,Q♥,5♥,6♣,K♥
2♠,49,A♦,4♦,6♦,6♥,2♦,K♥,3♥,Q♠,6♣,J♦,2♦,2♣
2♠,50,6♠,7♦,6♥,J♥,10♥,6♣,2♥,A♥,8♠,2♣,A♦,A♠
2♠,51,9♥,3♦,J♥,5♠,2♦,A♣,6♣,5♠,K♥,K♦,A♥,7♥
2♠,52,Q♠,A♥,5♠,3♠,Q♥,K♠,10♣,3♠,A♣,4♠,3♥,8♥
2♠,53,2♦,10♦,6♥,10♥,5♦,Q♣,K♣,Q♥,8♦,3♥,Q♣,7♠
2♠,54,7♥,8♥,J♠,J♦,8♣,4♣,10♥,K♠,9♦,Q♥,10♦,K♦
2♠,55,3♦,7♦,J♦,6♠,6♦,9♦,9♠,10♣,8♠,A♥,Q♠,3♣
2♠,56,3♠,5♦,6♠,6♣,3♥,7♣,9♦,2♦,5♥,7♠,8♦,5♦
2♠,57,2♦,Q♣,J♠,5♦,5♣,8♥,7♣,10♦,A♦,4♠,7♣,9♦
2♠,58,A♠,6♣,5♦,9♥,5♠,8♠,J♣,6♥,K♦,K♣,J♠,Q♦
2♠,59,10♦,Q♣,9♥,7♥,J♥,9♦,7♣,10♥,A♣,8♦,10♣,3♦
2♠,60,6♠,9♣,5♣,8♣,3♣,6♥,7♥,5♦,10♥,10♠,4♠,6♥
2♠,61,6♦,4♣,8♣,K♦,3♦,A♠,5♠,Q♣,Q♥,J♦,4♥,4♣
2♠,62,6♣,7♣,8♦,7♦,K♥,J♥,K♦,K♣,4♠,2♥,10♠,5♣
2♠,63,Q♣,7♥,7♦,6♥,3♥,5♣,2♣,7♥,A♥,Q♠,Q♥,5♥
2♠,64,9♣,7♣,J♦,Q♥,7♠,9♦,6♥,8♥,K♠,4♦,9♣,4♦
2♠,65,J♥,7♥,Q♥,A♣,10♠,8♦,A♦,J♠,2♦,10♥,6♦,5♠
2♠,66,6♥,J♣,5♥,4♦,Q♣,6♣,8♦,J♦,K♥,9♥,3♠,10♥
2♠,67,Q♠,10♣,Q♥,J♣,6♠,8♥,6♣,8♣,J♦,4♠,J♦,J♣
2♠,68,7♥,2♦,J♣,4♥,4♦,J♦,2♣,4♣,7♠,5♦,J♣,J♦
2♠,69,7♦,K♦,J♠,5♦,8♠,7♣,4♥,10♥,6♦,5♠,10♥,3♠
2♠,70,A♠,2♦,5♦,5♥,3♦,6♥,7♣,3♦,3♥,4♠,5♠,6♦
2♠,71,10♥,A♣,J♣,10♠,8♦,Q♠,6♥,9♥,7♥,8♣,4♦,9♣
2♠,72,2♣,8♥,K♠,5♦,A♣,3♣,6♠,J♦,Q♠,J♠,5♥,Q♥
2♠,73,8♦,10♣,J♣,J♦,9♥,Q♣,J♥,6♠,8♠,4♦,5♣,10♠
2♠,74,Q♠,4♣,J♦,Q♦,5♣,8♠,9♠,6♦,A♠,K♠,4♣,4♥
2♠,75,10♦,7♥,Q♦,K♦,3♣,10♠,7♣,9♦,6♦,A♥,6♥,4♠
2♠,76,K♥,K♠,8♥,A♣,7♥,6♣,10♣,9♠,10♠,4♦,3♦,10♣
2♠,77,8♣,3♥,8♠,8♦,2♣,5♦,8♥,3♠,7♠,9♣,Q♦,J♠
2♠,78,J♦,9♠,8♦,3♠,5♠,4♣,5♦,5♦,Q♠,2♦,9♦,7♣
2♠,79,K♠,2♣,2♥,K♥,A♥,10♠,6♦,6♠,4♣,5♣,5♦,8♦
2♠,80,J♠,J♣,5♥,3♦,K♦,7♣,A♥,6♣,4♥,3♣,3♣,Q♠
2♠,81,8♥,K♥,2♣,J♣,Q♥,4♦,7♣,3♥,7♦,6♣,K♦,10♦
2♠,82,10♦,6♦,J♣,Q♦,3♦,7♦,10♠,7♣,J♥,8♦,7♠,Q♣
2♠,83,2♥,K♣,Q♠,3♠,10♥,9♦,Q♦,9♦,9♥,Q♥,8♥,3♥
2♠,84,6♠,4♦,3♠,4♣,4♠,9♥,A♥,2♦,5♣,2♦,7♥,A♥
2♠,85,5♥,J♦,6♥,4♥,7♦,3♥,4♣,Q♣,A♦,Q♥,A♠,A♦
2♠,86,10♦,8♣,4♥,8♦,6♦,A♦,9♠,J♠,8♠,K♣,2♣,2♦
2♠,87,2♣,4♠,8♦,Q♣,K♠,2♦,2♥,5♦,A♦,10♣,K♥,6♣
2♠,88,2♦,6♣,6♥,5♠,9♦,9♣,9♥,5♣,Q♠,Q♦,9♠,8♠
2♠,89,3♠,4♠,5♠,6♠,7♠,8♠,9♠,8♥,10♠,J♠,6♠,K♣
2♠,90,8♥,6♣,6♠,Q♥,10♣,8♦,K♠,7♣,3♥,A♣,2♠,2♠
3♥,0,A♣,Q♣,10♠,5♣,3♦,A♠,7♥,A♣,7♦,5♠,3♥,3♥
3♥,1,A♥,9♦,5♣,K♦,J♦,7♦,J♠,Q♣,3♣,8♦,Q♣,A♥
3♥,2,5♦,4♣,7♠,J♣,9♥,10♣,K♦,10♠,7♣,5♠,10♦,A♦
3♥,3,4♥,8♣,J♣,Q♥,5♥,7♣,A♦,5♣,10♦,Q♣,Q♠,2♦
3♥,4,6♣,J♦,Q♥,4♠,K♠,8♦,A♣,3♦,7♣,3♠,8♦,6♣
3♥,5,8♦,Q♠,7♠,Q♦,A♠,4♦,7♦,A♠,10♠,7♥,7♣,8♠
3♥,6,5♣,J♦,Q♦,A♥,6♠,10♦,A♦,7♥,10♥,6♦,J♠,K♣
3♥,7,2♠,Q♠,A♥,5♠,3♠,Q♥,K♠,A♥,10♣,2♥,10♣,2♠
3♥,8,4♦,J♦,9♣,K♠,4♠,A♣,4♥,9♦,5♠,K♦,4♠,6♠
3♥,9,A♣,A♥,2♠,7♥,8♥,J♠,J♦,5♣,8♣,4♣,4♥,9♠
3♥,10,K♣,A♠,7♥,10♣,J♣,8♣,6♥,K♦,5♠,5♦,10♠,K♥
3♥,11,7♣,9♦,5♥,7♠,8♦,2♦,10♣,J♦,Q♠,4♣,Q♥,2♣
3♥,12,A♥,7♦,7♠,J♥,3♦,Q♠,2♥,7♦,10♦,6♣,9♣,A♠
3♥,13,9♥,8♥,J♥,Q♦,8♦,A♣,Q♠,J♠,2♦,9♠,6♦,7♥
3♥,14,10♠,J♠,Q♦,5♠,5♠,K♠,3♠,5♦,A♣,J♦,3♠,8♥
3♥,15,8♦,4♥,7♠,3♦,2♣,4♠,Q♣,4♣,Q♥,10♣,J♦,7♠
3♥,16,K♣,2♠,6♦,4♣,8♣,K♦,3♦,7♠,A♠,5♠,J♣,K♦
3♥,17,8♥,7♦,4♣,A♥,5♥,A♠,A♦,J♣,10♦,J♠,10♥,3♣
3♥,18,5♣,2♣,A♥,Q♠,10♣,9♣,A♠,9♥,5♦,6♠,5♠,5♦
3♥,19,8♦,4♠,6♦,2♣,3♣,2♠,9♣,10♣,7♣,J♦,4♦,9♦
3♥,20,8♠,Q♠,2♣,9♥,Q♦,10♦,6♥,K♦,9♠,Q♣,5♥,Q♦
3♥,21,4♥,4♠,9♥,K♣,J♥,A♠,9♣,4♥,A♣,Q♥,5♣,3♦
3♥,22,A♥,4♦,3♣,8♣,K♥,7♠,K♣,8♣,3♦,10♥,4♣,6♥
3♥,23,5♥,K♦,8♣,9♠,8♥,8♠,Q♦,J♣,5♠,4♣,6♥,4♣
3♥,24,Q♠,9♣,Q♥,7♦,2♦,J♥,9♠,Q♥,J♦,2♥,3♦,5♣
3♥,25,4♠,K♣,7♦,7♠,10♣,3♣,6♣,5♥,J♠,10♠,Q♦,5♥
3♥,26,4♦,9♣,4♣,5♠,6♠,A♠,7♠,7♣,K♠,9♦,9♦,4♦
3♥,27,J♥,K♣,5♠,A♣,10♥,Q♥,7♣,A♦,8♦,3♦,5♦,5♠
3♥,28,7♠,6♥,5♦,9♦,4♠,Q♠,Q♥,6♣,2♦,9♥,3♣,10♥
3♥,29,10♠,3♠,5♠,6♥,A♥,2♠,Q♠,J♦,4♣,J♦,K♦,J♣
3♥,30,K♣,8♦,6♥,J♣,9♦,4♣,6♣,Q♥,6♠,2♣,7♠,J♦
3♥,31,7♦,9♠,6♦,2♣,10♦,9♣,J♣,4♠,5♥,Q♦,8♥,3♠
3♥,32,8♠,8♦,2♣,5♦,8♥,7♠,9♣,K♠,10♣,J♦,7♥,6♦
3♥,33,3♦,A♣,6♥,10♥,Q♥,10♠,7♠,8♦,K♣,8♣,A♠,9♣
3♥,34,6♣,2♠,K♠,2♣,A♣,K♥,A♥,A♣,10♠,6♦,2♣,Q♥
3♥,35,Q♥,3♠,6♥,4♣,9♥,4♠,J♥,8♦,10♦,9♦,K♥,10♠
3♥,36,10♠,K♦,4♣,7♥,3♣,10♦,A♦,Q♠,8♠,K♠,9♠,4♥
3♥,37,4♥,K♣,7♥,9♠,K♥,10♥,9♣,7♠,5♥,J♠,6♠,4♠
3♥,38,2♦,K♠,2♠,A♣,K♣,Q♠,3♠,Q♦,10♥,9♦,2♠,10♣
3♥,39,8♣,10♣,10♦,Q♥,6♣,2♣,2♠,A♠,6♠,4♦,K♣,J♠
3♥,40,4♣,A♦,Q♥,5♣,Q♦,K♦,2♣,4♦,10♠,8♦,8♠,7♣
3♥,41,K♠,6♣,2♥,2♦,J♠,10♥,5♥,7♦,K♦,3♣,6♣,8♦
3♥,42,6♦,6♥,5♦,8♥,9♠,9♣,J♠,5♣,J♣,K♥,2♦,Q♠
3♥,43,2♠,2♦,6♣,6♥,5♠,9♦,9♣,J♦,7♦,Q♠,A♦,10♦
3♥,44,4♥,5♥,6♥,7♥,8♥,7♦,10♥,Q♦,J♥,Q♥,A♥,Q♣
3♥,45,2♥,Q♣,10♠,5♣,3♦,A♠,7♥,A♥,9♥,5♠,3♥,3♥
3♥,46,A♥,9♦,5♣,K♦,J♦,9♥,J♠,6♠,3♣,8♦,Q♣,A♥
3♥,47,5♦,4♣,7♠,J♣,7♦,10♣,K♦,10♦,7♣,5♠,10♦,A♦
3♥,48,4♥,8♣,J♣,Q♥,5♥,7♣,A♦,A♦,10♦,Q♣,Q♠,2♦
3♥,49,6♣,J♦,Q♥,4♠,K♠,8♦,2♥,2♠,7♣,3♠,8♦,6♣
3♥,50,8♦,Q♠,7♠,Q♦,A♠,4♦,9♥,Q♠,10♠,7♥,7♣,8♠
3♥,51,5♣,J♦,Q♦,A♥,6♠,10♦,A♦,A♥,10♥,6♦,J♠,K♣
3♥,52,2♠,Q♠,A♥,5♠,3♠,Q♥,K♠,5♠,10♣,A♣,10♣,2♠
3♥,53,4♦,J♦,9♣,K♠,4♠,2♥,4♥,3♠,5♠,K♦,4♠,6♠
3♥,54,2♥,A♥,2♠,7♥,8♥,J♠,J♦,Q♥,8♣,4♣,4♥,9♠
3♥,55,K♣,A♠,7♥,10♣,J♣,8♣,6♥,K♠,5♠,5♦,10♠,K♥
3♥,56,7♣,9♦,5♥,7♠,8♦,2♦,10♣,4♦,Q♠,4♣,Q♥,2♣
3♥,57,A♥,9♥,7♠,J♥,3♦,Q♠,A♣,J♦,10♦,6♣,9♣,A♠
3♥,58,7♦,8♥,J♥,Q♦,8♦,2♥,Q♠,9♣,2♦,9♠,6♦,7♥
3♥,59,10♠,J♠,Q♦,5♣,5♠,K♠,3♠,K♠,2♥,J♦,3♠,8♥
3♥,60,8♦,4♥,7♠,3♦,2♣,4♠,Q♣,4♠,Q♥,10♣,J♦,7♠
3♥,61,K♣,2♠,6♦,4♣,8♣,K♦,3♦,A♣,A♠,5♠,J♣,K♦
3♥,62,8♥,9♥,4♣,A♥,5♥,A♠,A♦,4♥,10♦,J♠,10♥,3♣
3♥,63,5♣,2♣,A♥,Q♠,10♣,9♣,A♠,A♣,5♦,6♠,5♠,5♦
3♥,64,8♦,4♠,6♦,2♣,3♣,2♠,9♣,A♥,7♣,J♦,4♦,9♦
3♥,65,8♠,Q♠,2♣,7♦,Q♦,10♦,6♥,2♠,9♠,Q♣,5♥,Q♦
3♥,66,4♥,4♠,7♦,K♣,J♥,A♠,9♣,7♥,2♥,Q♥,5♣,3♦
3♥,67,A♥,4♦,3♣,8♣,K♥,7♠,K♣,8♥,3♦,10♥,4♣,6♥
3♥,68,5♥,K♦,8♣,9♠,8♥,8♠,Q♦,J♠,5♠,4♣,6♥,4♣
3♥,69,Q♠,9♣,Q♥,9♥,2♦,J♥,9♠,J♦,J♦,A♣,3♦,5♣
3♥,70,4♠,K♣,9♥,7♠,10♣,3♣,6♣,K♣,J♠,10♠,Q♦,5♥
3♥,71,4♦,9♣,4♣,5♠,6♠,A♠,7♠,A♠,K♠,9♦,9♦,4♦
3♥,72,J♥,K♣,5♠,2♥,10♥,Q♥,7♣,7♥,8♦,3♦,5♦,5♠
3♥,73,7♠,6♥,5♦,9♦,4♠,Q♠,Q♥,10♣,2♦,7♦,3♣,10♥
3♥,74,10♠,3♠,5♠,6♥,A♥,2♠,Q♠,J♣,4♣,J♦,K♦,J♣
3♥,75,K♣,8♦,6♥,J♣,9♦,4♣,6♣,8♣,6♠,2♣,7♠,J♦
3♥,76,9♥,9♠,6♦,2♣,10♦,9♣,J♣,6♥,5♥,Q♦,8♥,3♠
3♥,77,8♠,8♦,2♣,5♦,8♥,7♠,9♣,7♣,10♣,J♦,7♥,6♦
3♥,78,3♦,2♥,6♥,10♥,Q♥,10♠,7♠,9♦,K♣,8♣,A♠,9♣
3♥,79,6♣,2♠,K♠,2♣,2♥,K♥,A♥,5♥,10♠,6♦,2♣,Q♥
3♥,80,Q♥,3♠,6♥,4♣,7♦,4♠,J♥,7♠,10♦,9♦,K♥,10♠
3♥,81,10♠,K♦,4♣,7♥,3♣,10♦,A♦,8♦,8♠,K♠,9♠,4♥
3♥,82,4♥,K♣,7♥,9♠,K♥,10♥,9♣,2♦,5♥,J♠,6♠,4♠
3♥,83,2♦,K♠,2♠,2♥,K♣,Q♠,3♠,10♣,10♥,9♦,2♠,10♣
3♥,84,8♣,10♣,10♦,Q♥,6♣,2♣,2♠,A♥,6♠,4♦,K♣,J♠
3♥,85,4♣,A♦,Q♥,5♣,Q♦,K♦,2♣,7♦,10♠,8♦,8♠,7♣
3♥,86,K♠,6♣,A♣,2♦,J♠,10♥,5♥,7♠,K♦,3♣,6♣,8♦
3♥,87,6♦,6♥,5♦,8♥,9♠,9♣,J♠,J♥,J♣,K♥,2♦,Q♠
3♥,88,2♠,2♦,6♣,6♥,5♠,9♦,9♣,3♦,9♥,Q♠,A♦,10♦
3♥,89,4♥,5♥,6♥,7♥,8♥,9♥,10♥,Q♠,J♥,Q♥,A♥,Q♣
3♥,90,A♣,Q♣,10♠,5♣,3♦,A♠,7♥,2♥,7♦,5♠,3♥,3♥
3♣,0,3♠,9♥,7♣,5♦,Q♠,J♣,9♦,3♠,7♠,2♣,3♣,3♣
3♣,1,8♦,10♥,5♦,8♥,K♥,8♠,J♣,9♥,10♦,5♥,K♦,5♦
3♣,2,7♥,9♠,6♣,10♥,Q♥,5♣,8♠,7♣,A♠,A♦,7♠,9♦
3♣,3,6♥,8♥,10♥,7♦,4♠,7♠,J♠,5♦,4♦,K♦,8♥,Q♦
3♣,4,6♠,9♠,7♦,4♣,J♥,J♣,8♠,Q♠,2♥,K♣,7♥,3♦
3♣,5,5♦,10♦,Q♥,8♣,5♠,6♦,4♣,J♣,10♣,3♥,A♠,6♥
3♣,6,Q♠,9♣,8♣,4♦,3♠,6♥,4♠,9♦,Q♣,7♣,2♣,4♣
3♣,7,8♥,8♠,K♣,9♥,Q♦,J♥,4♦,8♦,A♦,A♣,K♥,5♣
3♣,8,9♠,4♣,9♥,6♦,K♥,Q♥,3♦,10♥,2♣,2♠,9♠,5♥
3♣,9,10♦,8♠,7♣,Q♣,5♥,J♣,6♦,5♦,K♠,4♥,6♠,4♦
3♣,10,J♥,4♣,Q♣,2♥,3♥,K♣,A♠,8♥,7♥,10♣,2♠,5♠
3♣,11,6♦,J♠,10♠,4♥,9♠,8♥,K♣,K♥,Q♦,7♦,K♣,10♥
3♣,12,2♠,2♦,Q♣,J♠,5♦,5♣,8♥,8♠,7♣,A♦,8♠,J♣
3♣,13,4♣,7♥,J♠,A♥,4♥,7♣,3♦,J♣,5♥,10♥,6♣,J♦
3♣,14,9♥,4♦,6♣,10♥,7♠,8♠,A♥,7♥,Q♠,4♠,2♠,3♠
3♣,15,6♥,7♥,10♥,10♠,3♠,6♦,8♠,9♠,K♥,A♦,A♦,6♦
3♣,16,10♣,2♥,J♠,3♥,K♣,2♠,6♦,6♣,4♣,8♣,A♥,9♣
3♣,17,3♦,5♣,K♠,10♥,2♥,5♠,5♦,10♥,2♠,6♣,3♥,Q♥
3♣,18,K♣,2♦,J♠,7♣,7♦,9♠,J♥,Q♥,7♠,4♥,Q♣,10♠
3♣,19,2♠,9♣,7♣,J♦,Q♥,7♠,9♦,5♣,6♥,K♠,10♦,4♥
3♣,20,6♠,4♣,J♦,4♦,5♠,3♥,8♠,8♠,Q♠,2♣,Q♠,4♠
3♣,21,Q♦,K♠,5♣,2♥,4♣,8♥,2♦,6♥,3♥,4♥,8♦,10♣
3♣,22,8♣,K♥,7♠,K♣,3♦,10♥,5♣,8♥,5♥,10♦,7♣,J♠
3♣,23,7♣,9♦,K♣,8♦,4♠,9♣,10♥,10♥,2♠,7♥,J♠,7♣
3♣,24,K♠,3♦,A♣,Q♦,2♣,3♥,Q♠,7♦,9♣,Q♥,10♣,8♦
3♣,25,6♣,J♠,10♠,3♠,4♦,8♠,2♣,4♠,A♥,5♠,4♠,Q♠
3♣,26,5♣,Q♦,3♦,J♠,Q♣,4♥,8♠,7♠,9♥,8♥,4♥,10♦
3♣,27,6♠,Q♠,J♠,J♦,3♠,9♥,3♥,J♠,J♥,K♣,10♠,Q♣
3♣,28,A♣,K♦,2♠,8♦,10♣,J♣,J♦,6♠,7♦,Q♣,Q♥,3♥
3♣,29,5♦,4♥,8♦,9♣,A♦,7♦,2♣,9♠,Q♥,7♥,9♣,A♥
3♣,30,10♠,7♣,6♦,A♥,9♥,K♥,9♣,7♦,A♠,Q♣,6♦,A♦
3♣,31,6♠,8♣,A♥,K♣,Q♠,A♠,9♦,4♣,7♠,K♦,3♠,2♦
3♣,32,3♦,A♦,K♣,9♠,K♠,7♥,A♣,J♥,A♠,2♦,J♦,6♣
3♣,33,7♥,8♥,6♦,4♠,J♣,10♦,7♦,J♣,2♠,J♦,J♣,8♠
3♣,34,8♦,A♦,4♠,5♦,5♥,7♠,9♦,8♠,3♥,6♣,10♥,K♣
3♣,35,5♣,8♥,5♦,Q♣,2♦,K♣,K♠,5♦,K♥,2♥,5♠,2♠
3♣,36,10♦,A♦,8♠,K♠,9♠,A♣,6♠,10♦,Q♣,9♣,4♦,6♠
3♣,37,A♣,5♦,5♣,J♦,3♠,2♣,A♦,Q♥,8♣,7♣,5♥,9♠
3♣,38,4♣,J♣,J♦,K♥,A♥,8♣,J♠,8♣,Q♣,10♠,5♣,K♥
3♣,39,A♠,4♥,Q♠,6♦,7♥,Q♦,K♥,5♠,8♥,7♣,4♣,2♣
3♣,40,5♦,7♦,6♦,J♥,10♣,8♥,2♥,6♦,7♠,3♦,6♥,A♠
3♣,41,9♥,3♠,J♥,4♠,7♥,A♣,8♥,4♣,Q♦,4♦,3♦,7♥
3♣,42,2♠,2♣,4♠,8♦,Q♣,K♠,2♦,Q♠,A♣,A♦,Q♦,8♥
3♣,43,7♥,6♠,6♦,10♣,10♥,9♠,K♦,9♣,K♣,K♥,9♦,7♠
3♣,44,4♣,5♣,6♣,7♣,8♣,9♣,10♣,8♣,J♣,Q♣,5♦,K♦
3♣,45,3♠,7♦,7♣,5♦,Q♠,J♣,9♦,4♦,7♠,2♣,3♣,3♣
3♣,46,8♦,10♥,5♦,8♥,K♥,8♠,J♣,3♠,10♠,5♥,K♦,5♦
3♣,47,7♥,9♠,6♣,10♥,Q♥,5♣,8♠,6♥,A♠,A♦,7♠,9♦
3♣,48,6♥,8♥,10♥,9♥,4♠,7♠,J♠,4♠,4♦,K♦,8♥,Q♦
3♣,49,6♠,9♠,9♥,4♣,J♥,J♣,8♠,8♥,A♣,K♣,7♥,3♦
3♣,50,5♦,10♦,Q♥,8♣,5♠,6♦,4♣,8♠,10♣,3♥,A♠,6♥
3♣,51,Q♠,9♣,8♣,4♦,3♠,6♥,4♠,K♣,Q♣,7♣,2♣,4♣
3♣,52,8♥,8♠,K♣,7♦,Q♦,J♥,4♦,9♥,A♦,2♥,K♥,5♣
3♣,53,9♠,4♣,7♦,6♦,K♥,Q♥,3♦,Q♦,2♣,2♠,9♠,5♥
3♣,54,10♦,8♠,7♣,Q♣,5♥,J♣,6♦,J♥,K♠,4♥,6♠,4♦
